mcap_bie2019;dur_mat2019;cau_div2019;sexo_1.2019;niv_inst1.2019;p_etnica1.2019;edad_1.2019;sexo_2.2019;p_etnica2.2019;niv_inst2.2019;edad_2.2019;mcap_bie2021;dur_mat2021;cau_div2021;sexo_1.2021;p_etnica1.2021;niv_inst1.2021;edad_1.2021;sexo_2.2021;p_etnica2.2021;niv_inst2.2021;edad_2.2021;mcap_bie2022;dur_mat2022;cau_div2022;sexo_1;p_etnica1.2022;niv_inst1.2022;edad_1.2022;sexo_2;p_etnica2.2022;niv_inst2.2022;edad_2.2022
No;14;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Secundaria;Mestizo;35;Hombre;Mestizo; Secundaria;78; No;12;Por mutuo consentimiento via judicial;Hombre;Sin información; Educación media / Bachillerato;35;Mujer;Sin información; Educación media / Bachillerato;30; No;31;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;57;Mujer;Mestizo; Educación media / Bachillerato;60
No;2;Por mutuo consentimiento via judicial;Hombre; Secundaria;Mestizo;51;Hombre;Mestizo; Superior Universitario;86; No;8;Por mutuo consentimiento via judicial;Hombre;Sin información; Educación Básica;31;Mujer;Sin información; Educación Básica;31; No;11;Por mutuo consentimiento via judicial;Mujer;Montubio; Educación media / Bachillerato;37;Mujer;Mestizo; Educación media / Bachillerato;42
No;5;Por mutuo consentimiento via judicial;Hombre; Primaria;Mestizo;30;Hombre;Mestizo; Secundaria;65; No;27;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Sin información; Educación media / Bachillerato;55;Mujer;Sin información; Educación media / Bachillerato;49; No;0;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;27;Mujer;Mestizo; Educación media / Bachillerato;24
No;8;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Superior no Universitario;Mestizo;34;Hombre;Mestizo; Educacion media o Bachillerato;69; Si;9;Por mutuo consentimiento via judicial;Hombre;Sin información; Educación media / Bachillerato;45;Mujer;Sin información; Educación media / Bachillerato;46; No;33;Por mutuo consentimiento via notarial;Mujer;Mestizo; Educación media / Bachillerato;60;Hombre;Mestizo; Educación media / Bachillerato;48
No;6;Por mutuo consentimiento via judicial;Hombre; Secundaria;Mestizo;24;Hombre;Mestizo; Superior no Universitario;21; No;12;Por mutuo consentimiento via judicial;Hombre;Mestizo; Superior Universitario;36;Mujer;Mestizo; Educación media / Bachillerato;34; No;20;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Mujer;Mestizo; Educación media / Bachillerato;41;Hombre;Mestizo; Educación media / Bachillerato;37
No;2;Por mutuo consentimiento via judicial;Hombre; Educacion Basica;Sin informacion;23;Hombre;Sin informacion; Educacion Basica;22; Sin informacion;2;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Secundaria;28;Mujer;Mestizo; Secundaria;24; No;5;Por mutuo consentimiento via notarial;Mujer;Mestizo; Educación media / Bachillerato;29;Hombre;Mestizo; Educación media / Bachillerato;31
Sin informacion;4;Por mutuo consentimiento via notarial;Hombre; Educacion media o Bachillerato;Mestizo;21;Mujer;Mestizo; Superior Universitario;22; No;25;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;60;Mujer;Mestizo; Educación media / Bachillerato;44; No;3;Por mutuo consentimiento via judicial;Hombre;Mestizo; Superior no Universitario;23;Mujer;Mestizo; Superior no Universitario;22
Sin informacion;2;Por mutuo consentimiento via notarial;Hombre; Superior Universitario;Mestizo;25;Mujer;Mestizo; Superior Universitario;21; No;38;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;64;Mujer;Mestizo; Educación media / Bachillerato;62; No;4;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;31;Mujer;Mestizo; Secundaria;26
Si;2;Por mutuo consentimiento via judicial;Hombre; Educacion media o Bachillerato;Mestizo;21;Mujer;Mestizo; Superior Universitario;22; No;11;Por mutuo consentimiento via notarial;Hombre;Mestizo; Superior Universitario;33;Mujer;Mestizo; Secundaria;31; No;14;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Hombre;Mestizo; Educación media / Bachillerato;32;Mujer;Mestizo; Educación media / Bachillerato;34
No;1;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Primaria;Montubio;22;Hombre;Mestizo; Primaria;21; Sin informacion;34;El estado habitual de falta de armonia de las dos voluntades en la vida matrimonial;Hombre;Mestizo; Secundaria;61;Mujer;Mestizo; Secundaria;51; No;5;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Mujer;Mestizo; Educación media / Bachillerato;63;Hombre;Mestizo; Educación media / Bachillerato;53
Sin informacion;3;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Primaria;Mestizo;22;Mujer;Mestizo; Secundaria;22; Sin informacion;6;Por mutuo consentimiento via notarial;Hombre;Mestizo; Superior no Universitario;58;Mujer;Mestizo; Superior no Universitario;56; No;21;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;42;Mujer;Mestizo; Educación media / Bachillerato;44
Sin informacion;5;Por mutuo consentimiento via notarial;Hombre; Educacion Basica;Mestizo;22;Mujer;Mestizo; Educacion Basica;22; Sin informacion;6;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Posgrado;26;Mujer;Mestizo; Posgrado;30; No;20;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;41;Mujer;Mestizo; Educación media / Bachillerato;40
No;1;Por mutuo consentimiento via notarial;Hombre; Primaria;Mestizo;26;Hombre;Mestizo; Educacion media o Bachillerato;22; No;15;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;40;Mujer;Mestizo; Superior no Universitario;38; No;15;Por mutuo consentimiento via notarial;Mujer;Mestizo; Educación media / Bachillerato;47;Hombre;Mestizo; Educación media / Bachillerato;45
No;7;Por mutuo consentimiento via notarial;Hombre; Primaria;Mestizo;25;Hombre;Mestizo; Primaria;22; No;6;El estado habitual de falta de armonia de las dos voluntades en la vida matrimonial;Hombre;Mestizo; Educación media / Bachillerato;46;Mujer;Mestizo; Educación media / Bachillerato;36; Sin informacion;25;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;50;Mujer;Mestizo; Educación media / Bachillerato;42
No;8;Por mutuo consentimiento via judicial;Hombre; Primaria;Mestizo;30;Hombre;Mestizo; Primaria;22; No;28;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;48;Hombre;Mestizo; Educación media / Bachillerato;47; No;23;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;42;Mujer;Mestizo; Superior no Universitario;42
No;7;"El estado habitual de falta de armonia de las dos
voluntades en la vida matrimonial";Hombre; Educacion Basica;Mestizo;35;Hombre;Mestizo; Educacion Basica;22; No;41;Por mutuo consentimiento via notarial;Hombre;Mestizo; Posgrado;63;Hombre;Mestizo; Superior no Universitario;64; No;15;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Mujer;Mestizo; Educación media / Bachillerato;40;Hombre;Mestizo; Educación media / Bachillerato;36
No;17;Por mutuo consentimiento via judicial;Mujer; Educacion Basica;Mestizo;42;Hombre;Mestizo; Secundaria;38; No;18;Por mutuo consentimiento via judicial;Hombre;Mestizo; Secundaria;43;Hombre;Mestizo; Educación media / Bachillerato;40; No;8;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Hombre;Mestizo; Educación media / Bachillerato;31;Mujer;Mestizo; Educación Básica;25
No;14;Por mutuo consentimiento via judicial;Hombre; Primaria;Mestizo;37;Mujer;Mestizo; Secundaria;33; No;15;Por mutuo consentimiento via judicial;Mujer;Mestizo; Educación Básica;39;Hombre;Mestizo; Educación Básica;32; No;40;Por mutuo consentimiento via judicial;Hombre;Mestizo; Superior Universitario;62;Mujer;Mestizo; Educación media / Bachillerato;63
No;17;Por mutuo consentimiento via judicial;Hombre; Educacion media o Bachillerato;Blanco;49;Mujer;Blanco; Educacion media o Bachillerato;38; No;5;Por mutuo consentimiento via notarial;Mujer;Mestizo; Secundaria;36;Hombre;Mestizo; Secundaria;36; No;8;Por mutuo consentimiento via judicial;Hombre;Mestizo; Superior Universitario;42;Mujer;Mestizo; Educación media / Bachillerato;40
No;17;Por mutuo consentimiento via judicial;Mujer; Posgrado;Mestizo;33;Mujer;Mestizo; Superior Universitario;30; No;6;Por mutuo consentimiento via notarial;Mujer;Mestizo; Secundaria;31;Hombre;Mestizo; Superior Universitario;27; No;20;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;40;Mujer;Mestizo; Educación media / Bachillerato;37
No;5;Por mutuo consentimiento via judicial;Hombre; Superior Universitario;Mestizo;28;Mujer;Mestizo; Superior Universitario;29; No;8;Por mutuo consentimiento via judicial;Hombre;Mestizo; Primaria;36;Mujer;Mestizo; Secundaria;32; No;38;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;60;Mujer;Blanco; Educación media / Bachillerato;56
No;21;Por mutuo consentimiento via judicial;Hombre; Superior Universitario;Mestizo;55;Mujer;Mestizo; Superior Universitario;51; No;1;Por mutuo consentimiento via judicial;Hombre;Mestizo; Superior no Universitario;54;Mujer;Mestizo; Educación media / Bachillerato;35; No;7;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;38;Mujer;Mestizo; Educación media / Bachillerato;31
No;6;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Superior no Universitario;Mestizo;90;Mujer;Mestizo; Superior Universitario;53; No;2;Por mutuo consentimiento via judicial;Hombre;Mestizo; Primaria;26;Mujer;Mestizo; Educación Básica;29; No;4;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Hombre;Mestizo; Superior Universitario;37;Mujer;Mestizo; Educación media / Bachillerato;28
Sin informacion;8;"Los tratos crueles o violencia contra la mujer o
miembros del nucleo familiar";Hombre; Secundaria;Mestizo;93;Mujer;Mestizo; Secundaria;57; Sin informacion;6;Por mutuo consentimiento via judicial;Hombre;Mestizo; Secundaria;30;Mujer;Mestizo; Superior no Universitario;29; No;7;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;41;Mujer;Mestizo; Educación media / Bachillerato;29
No;9;Por mutuo consentimiento via notarial;Hombre; Secundaria;Mestizo;90;Mujer;Mestizo; Educacion media o Bachillerato;72; No;9;El estado habitual de falta de armonia de las dos voluntades en la vida matrimonial;Hombre;Sin información; Educación Básica;36;Mujer;Sin información; Educación Básica;29; No;9;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;34;Mujer;Mestizo; Educación media / Bachillerato;31
No;5;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Secundaria;Mestizo;98;Mujer;Mestizo; Educacion media o Bachillerato;81; No;2;El estado habitual de falta de armonia de las dos voluntades en la vida matrimonial;Hombre;Mestizo; Educación media / Bachillerato;23;Mujer;Mestizo; Superior Universitario;22; No;6;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;38;Mujer;Mestizo; Educación media / Bachillerato;33
No;54;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Educacion media o Bachillerato;Mestizo;92;Mujer;Mestizo; Educacion media o Bachillerato;73; Si;18;Por mutuo consentimiento via judicial;Hombre;Mestizo; Superior Universitario;44;Mujer;Mestizo; Superior Universitario;40; No;20;Por mutuo consentimiento via judicial;Mujer;Sin información; Superior no Universitario;67;Hombre;Mestizo; Educación media / Bachillerato;44
No;65;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Educacion media o Bachillerato;Mestizo;90;Mujer;Mestizo; Educacion media o Bachillerato;87; No;10;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;33;Mujer;Mestizo; Superior Universitario;34; Sin informacion;12;Por mutuo consentimiento via judicial;Mujer;Mestizo;Ninguno;40;Hombre;Mestizo; Primaria;35
No;5;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Superior Universitario;Mestizo;94;Mujer;Mestizo; Posgrado;82; Sin informacion;9;Por mutuo consentimiento via notarial;Hombre;Montubio; Primaria;36;Mujer;Mestizo; Primaria;35; No;13;Por mutuo consentimiento via judicial;Mujer;Mestizo; Educación media / Bachillerato;35;Hombre;Mestizo; Educación media / Bachillerato;33
No;58;Por mutuo consentimiento via notarial;Hombre; Educacion media o Bachillerato;Mestizo;90;Mujer;Mestizo; Superior Universitario;74; Sin informacion;4;Por mutuo consentimiento via notarial;Hombre;Mestizo; Primaria;33;Mujer;Mestizo; Secundaria;32; Sin informacion;12;Por mutuo consentimiento via notarial;Mujer;Mestizo; Educación media / Bachillerato;38;Hombre;Mestizo; Educación media / Bachillerato;45
No;33;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Secundaria;Sin informacion;92;Mujer;Sin informacion; Superior Universitario;80; No;11;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Educación Básica;32;Mujer;Mestizo; Educación Básica;38; No;29;Por mutuo consentimiento via notarial;Mujer;Mestizo; Educación media / Bachillerato;57;Hombre;Mestizo; Educación media / Bachillerato;45
No;38;"El estado habitual de falta de armonia de las dos
voluntades en la vida matrimonial";Mujer; Secundaria;Indigena;92;Mujer;Mestizo; Secundaria;87; No;6;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Primaria;62;Mujer;Mestizo; Educación media / Bachillerato;48; Sin informacion;35;Por mutuo consentimiento via notarial;Mujer;Mestizo; Educación media / Bachillerato;59;Hombre;Mestizo; Educación media / Bachillerato;53
No;0;Por mutuo consentimiento via judicial;Mujer; Secundaria;Mestizo;75;Mujer;Mestizo; Secundaria;38; Sin informacion;16;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Primaria;43;Mujer;Mestizo; Primaria;33; No;12;Por mutuo consentimiento via judicial;Mujer;Mestizo; Sin información;44;Hombre;Mestizo; Sin información;36
No;0;Por mutuo consentimiento via notarial;Mujer; Secundaria;Mestizo;56;Mujer;Mestizo; Superior no Universitario;19; Sin informacion;14;Por mutuo consentimiento via judicial;Hombre;Mestizo; Primaria;37;Mujer;Mestizo; Primaria;34; No;33;Por mutuo consentimiento via notarial;Mujer;Sin información; Jardín de Infantes;56;Hombre;Mestizo; Superior no Universitario;53
No;11;Por mutuo consentimiento via judicial;Mujer; Educacion Basica;Mestizo;69;Mujer;Mestizo; Educacion Basica;34; Sin informacion;17;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación Básica;37;Mujer;Mestizo; Educación Básica;37; No;15;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Mujer;Mestizo; Educación media / Bachillerato;42;Hombre;Mestizo; Educación media / Bachillerato;43
No;0;El adulterio de uno de los conyuges;Mujer; Secundaria;Mestizo;59;Mujer;Mestizo; Educacion Basica;19; Sin informacion;33;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación Básica;52;Mujer;Mestizo; Secundaria;52; Sin informacion;9;Por mutuo consentimiento via judicial;Mujer;Montubio; Superior Universitario;65;Hombre;Mestizo; Educación Básica;35
No;4;Por mutuo consentimiento via judicial;Mujer; Superior no Universitario;Mestizo;72;Mujer;Mestizo; Educacion media o Bachillerato;28; Sin informacion;10;Por mutuo consentimiento via notarial;Hombre;Mestizo; Primaria;47;Mujer;Mestizo; Secundaria;47; No;5;Por mutuo consentimiento via judicial;Mujer;Mestizo; Educación media / Bachillerato;35;Hombre;Mestizo; Educación media / Bachillerato;27
No;0;Por mutuo consentimiento via notarial;Mujer; Superior Universitario;Mestizo;73;Mujer;Mestizo; Secundaria;34; Sin informacion;9;Por mutuo consentimiento via judicial;Hombre;Blanco; Educación media / Bachillerato;39;Mujer;Blanco; Educación media / Bachillerato;28; No;6;Por mutuo consentimiento via judicial;Mujer;Mestizo; Educación media / Bachillerato;34;Hombre;Mestizo; Educación media / Bachillerato;30
No;9;Por mutuo consentimiento via judicial;Mujer; Posgrado;Mestizo;85;Mujer;Mestizo; Posgrado;50; Sin informacion;8;Por mutuo consentimiento via notarial;Hombre;Mestizo; Posgrado;35;Mujer;Mestizo; Superior Universitario;34; Sin informacion;1;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;36;Mujer;Mestizo; Primaria;33
No;2;Por mutuo consentimiento via notarial;Mujer; Educacion media o Bachillerato;Blanco;78;Mujer;Mestizo; Educacion media o Bachillerato;33; Sin informacion;7;Por mutuo consentimiento via judicial;Hombre;Mestizo; Superior Universitario;40;Mujer;Mestizo; Superior Universitario;24; No;20;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Hombre;Mestizo; Educación media / Bachillerato;42;Mujer;Mestizo; Superior no Universitario;42
No;3;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Mujer; Secundaria;Mestizo;84;Mujer;Mestizo; Primaria;36; Sin informacion;5;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Superior Universitario;35;Mujer;Mestizo; Superior Universitario;34; No;21;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Hombre;Mestizo; Secundaria;44;Mujer;Mestizo; Educación media / Bachillerato;44
No;20;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Mujer; Secundaria;Mestizo;76;Mujer;Mestizo; Superior no Universitario;40; Sin informacion;14;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Mujer;Mestizo; Superior no Universitario;34;Hombre;Mestizo; Superior Universitario;34; No;18;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Hombre;Mestizo; Educación media / Bachillerato;40;Mujer;Mestizo; Educación media / Bachillerato;33
No;10;Por mutuo consentimiento via judicial;Mujer; Superior Universitario;Mestizo;65;Hombre;Mestizo; Educacion media o Bachillerato;30; Si;24;Por mutuo consentimiento via notarial;Mujer;Mestizo; Secundaria;43;Hombre;Mestizo; Secundaria;42; No;37;El estado habitual de falta de armonia de las dos voluntades en la vida matrimonial;Hombre;Mestizo; Educación media / Bachillerato;70;Mujer;Mestizo; Educación media / Bachillerato;66
No;5;Por mutuo consentimiento via notarial;Hombre; Educacion media o Bachillerato;Mestizo;69;Mujer;Mestizo; Educacion Basica;22; Sin informacion;19;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Secundaria;66;Hombre;Mestizo; Educación media / Bachillerato;59; No;25;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;54;Mujer;Montubio; Educación media / Bachillerato;48
No;0;Por mutuo consentimiento via notarial;Hombre; Secundaria;Mestizo;65;Mujer;Mestizo; Superior no Universitario;21; Sin informacion;42;Por mutuo consentimiento via notarial;Hombre;Mestizo; Secundaria;62;Mujer;Mestizo; Educación media / Bachillerato;59; No;7;Por mutuo consentimiento via judicial;Hombre;Mestizo; Superior Universitario;36;Mujer;Mestizo; Superior Universitario;26
No;10;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Secundaria;Mestizo;88;Mujer;Mestizo; Secundaria;37; Sin informacion;4;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;29;Mujer;Mestizo; Educación media / Bachillerato;29; Si;8;Por mutuo consentimiento via judicial;Hombre;Mestizo; Superior no Universitario;36;Mujer;Mestizo; Superior no Universitario;35
No;0;Por mutuo consentimiento via notarial;Hombre; Educacion media o Bachillerato;Afroecuatoriano/afrodescendiente;87;Hombre;Afroecuatoriano/afrodescendiente; Superior Universitario;52; Sin informacion;4;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Mujer;Mestizo; Educación media / Bachillerato;54;Hombre;Mestizo; Educación media / Bachillerato;44; No;12;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación Básica;52;Mujer;Mestizo; Educación Básica;45
No;9;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Primaria;Afroecuatoriano/afrodescendiente;72;Mujer;Mestizo; Primaria;36; Sin informacion;14;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Superior Universitario;36;Mujer;Mestizo; Posgrado;40; No;14;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Hombre;Mestizo; Educación media / Bachillerato;34;Mujer;Mestizo; Educación media / Bachillerato;33
No;8;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Educacion media o Bachillerato;Sin informacion;66;Mujer;Mulato; Educacion Basica;31; Sin informacion;10;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Educación media / Bachillerato;31;Mujer;Mestizo; Superior Universitario;34; No;31;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Hombre;Mestizo; Educación Básica;63;Mujer;Mestizo; Educación media / Bachillerato;55
No;10;Por mutuo consentimiento via judicial;Hombre; Educacion Basica;Sin informacion;77;Hombre;Sin informacion; Educacion Basica;40; Sin informacion;22;Por mutuo consentimiento via judicial;Hombre;Blanco; Secundaria;41;Mujer;Mestizo; Superior Universitario;41; No;21;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;63;Mujer;Mestizo; Educación media / Bachillerato;36
Si;6;Por mutuo consentimiento via judicial;Hombre; Educacion media o Bachillerato;Mestizo;62;Mujer;Mestizo; Superior Universitario;27; Sin informacion;5;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Sin información; Secundaria;30;Mujer;Sin información; Superior Universitario;27; No;25;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Hombre;Mestizo; Primaria;44;Mujer;Mestizo;Ninguno;44
No;25;Por mutuo consentimiento via notarial;Hombre; Superior Universitario;Mestizo;85;Mujer;Mestizo; Superior Universitario;45; No;16;Por mutuo consentimiento via notarial;Hombre;Indígena; Secundaria;43;Mujer;Mestizo; Secundaria;44; No;12;Por mutuo consentimiento via judicial;Hombre;Sin información; Secundaria;36;Mujer;Montubio; Educación media / Bachillerato;27
No;1;Por mutuo consentimiento via notarial;Hombre; Superior Universitario;Mestizo;57;Hombre;Mestizo; Superior Universitario;20; No;8;Por mutuo consentimiento via judicial;Hombre;Mestizo; Secundaria;42;Mujer;Mestizo; Secundaria;36; No;31;Por mutuo consentimiento via notarial;Hombre;Mestizo; Primaria;48;Mujer;Mestizo; Educación media / Bachillerato;46
No;15;Por mutuo consentimiento via judicial;Hombre; Educacion media o Bachillerato;Mestizo;75;Mujer;Mestizo; Educacion media o Bachillerato;34; No;4;Por mutuo consentimiento via judicial;Mujer;Mestizo; Educación media / Bachillerato;46;Hombre;Mestizo; Educación media / Bachillerato;39; No;34;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Mujer;Mestizo; Superior no Universitario;61;Hombre;Mestizo; Superior Universitario;59
No;5;Por mutuo consentimiento via judicial;Hombre; Educacion media o Bachillerato;Mestizo;32;Mujer;Mestizo; Posgrado;32; No;3;Por mutuo consentimiento via notarial;Hombre;Mestizo; Secundaria;29;Mujer;Mestizo; Superior no Universitario;30; No;3;Por mutuo consentimiento via notarial;Mujer;Mestizo; Educación media / Bachillerato;22;Hombre;Mestizo; Educación media / Bachillerato;24
No;14;Por mutuo consentimiento via judicial;Hombre; Secundaria;Mestizo;38;Mujer;Mestizo; Secundaria;39; No;22;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación Básica;42;Mujer;Mestizo; Educación Básica;43; Sin informacion;18;Por mutuo consentimiento via judicial;Mujer;Mestizo; Educación Básica;37;Hombre;Mestizo; Educación Básica;35
No;3;Por mutuo consentimiento via notarial;Hombre; Educacion media o Bachillerato;Mestizo;56;Mujer;Mestizo; Educacion media o Bachillerato;54; Sin informacion;9;Por mutuo consentimiento via judicial;Hombre;Mestizo; Secundaria;34;Mujer;Mestizo; Educación Básica;31; No;18;Por mutuo consentimiento via notarial;Mujer;Mulato; Primaria;68;Hombre;Mulato; Primaria;50
No;7;Por mutuo consentimiento via judicial;Hombre; Primaria;Mestizo;29;Mujer;Mestizo; Primaria;26; Sin informacion;29;Por mutuo consentimiento via judicial;Hombre;Mestizo; Superior no Universitario;51;Mujer;Mestizo; Educación media / Bachillerato;47; No;15;Por mutuo consentimiento via notarial;Mujer;Mestizo; Educación media / Bachillerato;40;Hombre;Mestizo; Educación media / Bachillerato;35
No;8;Por mutuo consentimiento via judicial;Hombre; Primaria;Mestizo;40;Mujer;Mestizo; Primaria;42; No;18;Por mutuo consentimiento via judicial;Mujer;Mestizo; Superior Universitario;42;Hombre;Mestizo; Secundaria;38; No;11;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;32;Mujer;Mestizo; Educación media / Bachillerato;29
Si;13;Por mutuo consentimiento via judicial;Hombre; Primaria;Mestizo;56;Mujer;Mestizo; Primaria;46; Sin informacion;2;Por mutuo consentimiento via notarial;Hombre;Mestizo; Posgrado;47;Mujer;Mestizo; Posgrado;52; Si;22;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;53;Mujer;Mestizo; Educación media / Bachillerato;53
No;25;Por mutuo consentimiento via notarial;Hombre; Secundaria;Mestizo;45;Hombre;Mestizo; Secundaria;45; No;28;Por mutuo consentimiento via notarial;Hombre;Blanco; Educación media / Bachillerato;48;Mujer;Mestizo; Educación media / Bachillerato;48; No;2;Por mutuo consentimiento via notarial;Hombre;Mestizo; Jardín de Infantes;36;Mujer;Mestizo; Educación media / Bachillerato;31
No;3;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Secundaria;Mestizo;44;Mujer;Mestizo; Secundaria;51; No;12;Por mutuo consentimiento via notarial;Hombre;Mestizo; Secundaria;36;Mujer;Mestizo; Primaria;35; No;20;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;50;Mujer;Mestizo; Educación media / Bachillerato;53
No;32;Por mutuo consentimiento via judicial;Hombre; Superior Universitario;Mestizo;59;Hombre;Mestizo; Superior Universitario;62; No;14;Por mutuo consentimiento via judicial;Hombre;Mulato; Secundaria;42;Mujer;Mulato; Secundaria;41; No;16;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;37;Mujer;Mestizo; Educación media / Bachillerato;47
No;19;Por mutuo consentimiento via notarial;Hombre; Primaria;Mulato;58;Mujer;Mestizo; Primaria;54; No;7;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Secundaria;51;Mujer;Mestizo; Superior no Universitario;51; No;21;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;46;Mujer;Montubio; Educación media / Bachillerato;48
No;14;Por mutuo consentimiento via judicial;Hombre; Superior no Universitario;Mestizo;38;Mujer;Mestizo; Superior no Universitario;30; No;3;Por mutuo consentimiento via notarial;Hombre;Mestizo; Superior Universitario;27;Mujer;Mestizo; Educación media / Bachillerato;27; No;8;Por mutuo consentimiento via judicial;Hombre;Mestizo; Secundaria;31;Mujer;Mestizo; Educación media / Bachillerato;31
