prov_insc;cant_insc;parr_insc;fecha_mat;mcap_bie;dur_mat;cau_div;sexo_1;fecha_nac1;edad_1;p_etnica1;niv_inst1;sexo_2;fecha_nac2;edad_2;p_etnica2;niv_inst2
Azuay;Cuenca;San Blas;21/8/2013; No;6;Por mutuo consentimiento via judicial;Hombre;21/11/1992;28;Mestizo; Superior Universitario;Mujer;17/2/1992;28;Mestizo; Superior Universitario
Azuay;Cuenca;San Blas;13/4/2009; No;11;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;20/8/1984;36;Mestizo; Secundaria;Mujer;19/2/1990;30;Mestizo; Superior Universitario
Azuay;Cuenca;San Blas;3/12/1990; Si;29;El estado habitual de falta de armonia de las dos voluntades en la vida matrimonial;Hombre;29/3/1968;52;Mestizo; Secundaria;Mujer;5/1/1972;49;Mestizo; Superior Universitario
Azuay;Cuenca;San Blas;5/1/1973; No;47;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;15/2/1955;65;Mestizo; Primaria;Mujer;13/12/1955;65;Mestizo; Educacion Basica
Azuay;Cuenca;San Blas;28/1/2011; No;9;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;19/10/1977;43;Mestizo; Educacion Basica;Mujer;10/4/1977;43;Mestizo; Secundaria
Azuay;Cuenca;San Blas;24/2/2011; No;8;Por mutuo consentimiento via judicial;Hombre;22/7/1990;30;Mestizo; Educacion media o Bachillerato;Mujer;7/10/1991;29;Mestizo; Educacion media o Bachillerato
Azuay;Cuenca;San Blas;7/1/2011; No;10;Por mutuo consentimiento via notarial;Hombre;16/7/1988;32;Mestizo; Superior Universitario;Mujer;17/6/1985;35;Mestizo; Educacion media o Bachillerato
Azuay;Gualaceo;Gualaceo, cabecera cantonal;29/7/2013; No;7;Por mutuo consentimiento via notarial;Hombre;24/1/1983;37;Mestizo; Secundaria;Mujer;10/6/1981;39;Mestizo; Secundaria
Azuay;Gualaceo;Gualaceo, cabecera cantonal;3/10/2001; No;18;Por mutuo consentimiento via judicial;Hombre;5/11/1979;41;Mestizo; Secundaria;Mujer;19/1/1979;41;Mestizo; Secundaria
Azuay;Gualaceo;Gualaceo, cabecera cantonal;10/4/2017; No;3;Por mutuo consentimiento via notarial;Hombre;18/7/1996;24;Mestizo; Secundaria;Mujer;23/1/1999;21;Mestizo; Educacion media o Bachillerato
Azuay;Paute;Paute, cabecera cantonal;11/12/2002; No;17;Por mutuo consentimiento via judicial;Hombre;8/11/1984;36;Afroecuatoriano/afrodescendiente; Primaria;Mujer;10/10/1973;47;Afroecuatoriano/afrodescendiente; Primaria
Azuay;Paute;Paute, cabecera cantonal;28/5/2000; No;20;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;31/5/1979;41;Mestizo; Secundaria;Mujer;12/3/1970;50;Mestizo; Secundaria
Azuay;Paute;Paute, cabecera cantonal;18/3/2015; No;5;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;19/8/1989;31;Mestizo; Educacion Basica;Mujer;12/9/1994;26;Mestizo; Educacion media o Bachillerato
Azuay;Paute;Paute, cabecera cantonal;17/12/2002; No;17;Por mutuo consentimiento via judicial;Hombre;9/7/1978;42;Mestizo; Primaria;Mujer;5/10/1986;34;Mestizo; Primaria
Azuay;Paute;Paute, cabecera cantonal;28/7/2015; No;5;Por mutuo consentimiento via judicial;Hombre;14/2/1988;32;Mestizo; Educacion media o Bachillerato;Mujer;25/9/1988;32;Mestizo; Secundaria
Canar;Azogues;Azogues;14/11/2019; No;1;Por mutuo consentimiento via judicial;Hombre;12/1/1997;23;Mestizo; Primaria;Mujer;20/2/2000;20;Mestizo; Educacion Basica
Canar;Azogues;Azogues;15/3/2016; No;4;El estado habitual de falta de armonia de las dos voluntades en la vida matrimonial;Hombre;22/5/1986;34;Mestizo; Educacion media o Bachillerato;Mujer;10/2/1990;30;Mestizo; Superior Universitario
Canar;Azogues;Azogues;23/5/2003; No;17;Por mutuo consentimiento via judicial;Hombre;1/4/1978;42;Mestizo; Educacion media o Bachillerato;Mujer;5/3/1985;35;Mestizo; Educacion media o Bachillerato
Canar;Azogues;Azogues;16/7/2010; No;9;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;25/10/1984;36;Mestizo; Educacion media o Bachillerato;Mujer;12/12/1984;36;Mestizo; Educacion media o Bachillerato
Azuay;Cuenca;San Blas;18/9/1993; No;26;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;10/4/1975;45;Mestizo; Primaria;Mujer;16/7/1976;44;Mestizo; Primaria
Azuay;Cuenca;San Blas;16/1/1998; No;20;Por mutuo consentimiento via judicial;Hombre;30/8/1970;50;Mestizo; Secundaria;Mujer;1/1/1978;43;Mestizo; Superior Universitario
Azuay;Cuenca;San Blas;17/1/1985; No;35;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;9/9/1967;53;Mestizo; Primaria;Mujer;9/12/1958;62;Mestizo; Primaria
Azuay;Cuenca;San Blas;11/7/2013; No;6;Por mutuo consentimiento via judicial;Hombre;14/3/1993;27;Mestizo; Educacion media o Bachillerato;Mujer;28/11/1989;31;Mestizo; Primaria
Azuay;Cuenca;San Blas;13/3/1999; No;21;Por mutuo consentimiento via notarial;Hombre;3/12/1968;52;Mestizo; Secundaria;Mujer;5/1/1974;47;Mestizo; Secundaria
Azuay;Cuenca;San Blas;16/3/2017; No;3;Por mutuo consentimiento via notarial;Hombre;14/10/1988;32;Mestizo; Superior no Universitario;Mujer;20/8/1993;27;Mestizo; Posgrado
Azuay;Cuenca;San Blas;12/9/2003; No;17;Por mutuo consentimiento via judicial;Hombre;7/7/1978;42;Mestizo; Superior Universitario;Mujer;3/6/1982;38;Mestizo; Superior Universitario
Azuay;Giron;Giron, cabecera cantonal;26/8/2016; No;4;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;16/2/1995;25;Mestizo; Educacion Basica;Mujer;3/5/1997;23;Mestizo; Educacion media o Bachillerato
Azuay;Giron;Giron, cabecera cantonal;14/11/2019; No;1;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;13/5/1965;55;Mestizo; Educacion Basica;Mujer;13/10/1991;29;Mestizo; Educacion media o Bachillerato
Azuay;Giron;Giron, cabecera cantonal;2/7/2008; No;12;Por mutuo consentimiento via judicial;Hombre;18/11/1979;41;Mestizo; Educacion Basica;Mujer;12/9/1979;41;Mestizo; Primaria
Azuay;Gualaceo;Gualaceo, cabecera cantonal;5/12/2007; No;12;Por mutuo consentimiento via notarial;Hombre;24/12/1988;32;Mestizo; Primaria;Mujer;19/2/1985;35;Mestizo; Secundaria
Azuay;Gualaceo;Gualaceo, cabecera cantonal;22/7/1997; No;23;Por mutuo consentimiento via judicial;Hombre;23/9/1980;40;Mestizo; Educacion Basica;Mujer;26/11/1976;44;Mestizo; Educacion Basica
Azuay;Gualaceo;Gualaceo, cabecera cantonal;28/12/2007; No;12;Por mutuo consentimiento via judicial;Hombre;14/12/1987;33;Mestizo; Secundaria;Mujer;18/2/1988;32;Mestizo; Secundaria
Azuay;Gualaceo;Gualaceo, cabecera cantonal;22/12/2017; No;2;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;29/9/1994;26;Mestizo; Secundaria;Mujer;5/10/1995;25;Mestizo; Secundaria
Azuay;Gualaceo;Gualaceo, cabecera cantonal;8/6/1994; Si;26;Por mutuo consentimiento via notarial;Hombre;4/4/1974;46;Mestizo; Educacion Basica;Mujer;27/5/1975;45;Mestizo; Educacion Basica
Azuay;Gualaceo;Gualaceo, cabecera cantonal;16/2/2004; No;16;Por mutuo consentimiento via judicial;Hombre;15/1/1984;37;Mestizo; Secundaria;Mujer;13/6/1987;33;Mestizo; Educacion media o Bachillerato
Azuay;Gualaceo;Gualaceo, cabecera cantonal;2/10/1986; No;34;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;16/11/1965;55;Mestizo; Primaria;Mujer;13/5/1968;52;Mestizo; Primaria
Azuay;Gualaceo;Gualaceo, cabecera cantonal;8/8/2019; No;1;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;27/2/1969;51;Mestizo; Secundaria;Mujer;17/11/1981;39;Sin informacion; Educacion media o Bachillerato
Azuay;Sigsig;Sigsig, cabecera cantonal;19/2/2006; No;14;Por mutuo consentimiento via judicial;Hombre;7/5/1980;40;Mestizo; Superior Universitario;Mujer;6/7/1983;37;Mestizo; Superior Universitario
Azuay;Sigsig;Sigsig, cabecera cantonal;7/2/2000; No;20;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;24/11/1981;39;Mestizo; Primaria;Mujer;5/6/1978;42;Mestizo; Primaria
Azuay;Sigsig;Sigsig, cabecera cantonal;27/4/1997; No;23;Por mutuo consentimiento via notarial;Hombre;20/4/1969;51;Mestizo; Primaria;Mujer;30/8/1963;57;Mestizo; Primaria
Azuay;Gualaceo;Gualaceo, cabecera cantonal;5/2/1991; No;29;Por mutuo consentimiento via judicial;Hombre;4/11/1971;49;Mestizo; Educacion Basica;Mujer;21/5/1970;50;Mestizo; Educacion Basica
Azuay;Cuenca;San Blas;10/7/1998; No;22;Por mutuo consentimiento via judicial;Hombre;31/8/1976;44;Mestizo; Secundaria;Mujer;13/6/1981;39;Mestizo; Secundaria
Azuay;Gualaceo;Gualaceo, cabecera cantonal;17/2/2017; No;3;Por mutuo consentimiento via judicial;Hombre;27/11/1997;23;Mestizo; Educacion Basica;Mujer;1/7/1998;22;Mestizo; Educacion media o Bachillerato
Azuay;Sigsig;Sigsig, cabecera cantonal;15/6/2016; No;4;Por mutuo consentimiento via notarial;Hombre;21/12/1990;30;Mestizo; Educacion Basica;Mujer;28/8/1991;29;Mestizo; Primaria
Azuay;Sigsig;Sigsig, cabecera cantonal;25/2/2004; No;16;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;20/5/1981;39;Mestizo; Primaria;Mujer;5/7/1981;39;Mestizo; Primaria
Azuay;Sigsig;Sigsig, cabecera cantonal;10/5/2000; No;20;Por mutuo consentimiento via notarial;Hombre;20/4/1978;42;Mestizo; Primaria;Mujer;25/10/1978;42;Mestizo; Secundaria
Canar;Azogues;Azogues;6/4/2016; No;4;Por mutuo consentimiento via judicial;Hombre;30/9/1996;24;Mestizo; Primaria;Mujer;12/1/1997;23;Mestizo; Primaria
Canar;Azogues;Azogues;31/7/2019; No;1;Por mutuo consentimiento via judicial;Hombre;18/4/2001;19;Mestizo; Educacion media o Bachillerato;Mujer;10/10/2000;20;Mestizo; Educacion media o Bachillerato
Canar;Azogues;Azogues;17/7/2006; No;14;Por mutuo consentimiento via judicial;Hombre;26/10/1983;37;Mestizo; Superior Universitario;Mujer;15/7/1987;33;Mestizo; Primaria
Canar;Azogues;Azogues;1/9/2015; No;5;Por mutuo consentimiento via judicial;Hombre;31/1/1993;27;Mestizo; Superior no Universitario;Mujer;13/4/1993;27;Mestizo; Superior no Universitario
Canar;Azogues;Azogues;7/5/2007; No;9;Por mutuo consentimiento via judicial;Hombre;30/9/1984;36;Mestizo; Superior Universitario;Mujer;14/8/1992;28;Mestizo; Primaria
Napo;Tena;Tena, cabecera cantonal y capital provincial;22/8/2009; No;11;Por mutuo consentimiento via notarial;Hombre;1/12/1987;33;Mestizo; Educacion media o Bachillerato;Mujer;8/10/1990;30;Mestizo; Superior Universitario
Napo;Tena;Tena, cabecera cantonal y capital provincial;2/2/2016; No;4;Por mutuo consentimiento via judicial;Hombre;26/4/1984;36;Indigena; Educacion media o Bachillerato;Mujer;6/8/1995;25;Indigena; Educacion media o Bachillerato
Napo;El Chaco;El Chaco, cabecera cantonal;19/2/1999; No;21;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;20/7/1978;42;Mestizo; Educacion Basica;Mujer;19/2/1981;39;Mestizo; Educacion Basica
Napo;El Chaco;El Chaco, cabecera cantonal;24/3/2001; No;19;Por mutuo consentimiento via notarial;Hombre;4/6/1967;53;Mestizo; Educacion media o Bachillerato;Mujer;8/4/1975;45;Mestizo; Superior Universitario
Pastaza;Pastaza;Puyo, cabecera cantonal y capital provincial;21/11/2014; No;5;Por mutuo consentimiento via judicial;Hombre;6/10/1982;38;Mestizo; Educacion media o Bachillerato;Mujer;1/9/1985;35;Mestizo; Superior no Universitario
Pastaza;Pastaza;Puyo, cabecera cantonal y capital provincial;25/5/1991; No;29;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;15/4/1971;49;Mestizo; Educacion media o Bachillerato;Mujer;18/10/1973;47;Mestizo; Superior no Universitario
Pastaza;Pastaza;Puyo, cabecera cantonal y capital provincial;23/2/2007; No;13;Por mutuo consentimiento via judicial;Hombre;26/4/1980;40;Mestizo; Educacion media o Bachillerato;Mujer;21/12/1987;33;Mestizo; Educacion media o Bachillerato
Pastaza;Pastaza;Puyo, cabecera cantonal y capital provincial;19/3/1997; No;18;Por mutuo consentimiento via judicial;Hombre;12/9/1970;50;Mestizo; Educacion media o Bachillerato;Mujer;8/8/1967;53;Mestizo; Educacion media o Bachillerato
Pastaza;Pastaza;Puyo, cabecera cantonal y capital provincial;23/2/2005; No;15;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;13/4/1971;49;Mestizo; Educacion media o Bachillerato;Mujer;13/1/1986;34;Mestizo; Educacion media o Bachillerato
Pastaza;Pastaza;Puyo, cabecera cantonal y capital provincial;25/10/2019; No;1;Por mutuo consentimiento via notarial;Hombre;9/5/1994;26;Mestizo; Superior Universitario;Mujer;29/6/1991;29;Mestizo; Superior Universitario
Pastaza;Pastaza;Puyo, cabecera cantonal y capital provincial;20/8/2010; No;10;Por mutuo consentimiento via judicial;Hombre;16/11/1986;34;Mestizo; Superior Universitario;Mujer;4/4/1989;31;Mestizo; Superior Universitario
Pastaza;Pastaza;Puyo, cabecera cantonal y capital provincial;23/2/2006; No;14;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;14/9/1985;35;Mestizo; Educacion media o Bachillerato;Mujer;8/3/1991;29;Mestizo; Educacion media o Bachillerato
Pastaza;Pastaza;Puyo, cabecera cantonal y capital provincial;19/9/2008; No;12;Por mutuo consentimiento via judicial;Hombre;8/5/1985;35;Mestizo; Educacion media o Bachillerato;Mujer;15/10/1986;34;Mestizo; Superior Universitario
Pastaza;Pastaza;Puyo, cabecera cantonal y capital provincial;29/10/1980; No;40;Por mutuo consentimiento via judicial;Hombre;24/8/1961;59;Mestizo; Educacion media o Bachillerato;Mujer;30/8/1966;54;Mestizo; Educacion media o Bachillerato
Pastaza;Pastaza;Puyo, cabecera cantonal y capital provincial;18/5/2007; No;6;Por mutuo consentimiento via judicial;Hombre;8/5/1985;35;Mestizo; Superior Universitario;Mujer;2/5/1984;36;Mestizo; Superior Universitario
Napo;Tena;Tena, cabecera cantonal y capital provincial;14/12/2006; No;13;Por mutuo consentimiento via judicial;Hombre;5/6/1976;44;Indigena; Superior Universitario;Mujer;30/8/1975;45;Indigena; Superior Universitario
Tungurahua;Ambato;Huachi Chico;20/2/2016; Sin informacion;4;Por mutuo consentimiento via notarial;Hombre;20/1/1984;36;Mestizo; Superior Universitario;Mujer;24/5/1987;33;Mestizo; Superior Universitario
Tungurahua;Ambato;Huachi Chico;5/1/1993; Si;28;Por mutuo consentimiento via notarial;Hombre;29/7/1973;47;Mestizo; Superior Universitario;Mujer;4/11/1974;46;Mestizo; Superior Universitario
Tungurahua;Ambato;Huachi Chico;19/2/2014; No;4;Por mutuo consentimiento via judicial;Hombre;30/9/1992;28;Indigena; Primaria;Mujer;5/5/1993;27;Indigena; Secundaria
Tungurahua;Ambato;Huachi Chico;22/5/2003; No;17;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;28/4/1981;39;Montubio; Primaria;Mujer;7/6/1984;36;Mestizo; Primaria
Tungurahua;Ambato;Huachi Chico;16/8/2002; No;18;Por mutuo consentimiento via judicial;Hombre;4/12/1980;40;Mestizo; Primaria;Mujer;30/1/1981;39;Mestizo; Secundaria
Tungurahua;Ambato;Huachi Chico;22/2/1980; No;38;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;5/10/1958;62;Mestizo; Primaria;Mujer;18/11/1958;62;Mestizo; Primaria
Tungurahua;Ambato;Huachi Chico;24/4/2004; No;16;Por mutuo consentimiento via judicial;Hombre;16/3/1985;35;Mestizo; Secundaria;Mujer;15/12/1985;35;Mestizo; Secundaria
Tungurahua;Ambato;Huachi Chico;1/11/1994; No;26;Por mutuo consentimiento via notarial;Hombre;8/11/1948;72;Mestizo; Secundaria;Mujer;19/3/1961;59;Mestizo; Secundaria
Tungurahua;Ambato;Huachi Chico;16/3/2017; No;2;Por mutuo consentimiento via judicial;Hombre;4/12/1990;30;Mestizo; Secundaria;Mujer;25/7/1991;29;Mestizo; Superior no Universitario
Tungurahua;Ambato;Huachi Chico;21/2/2018; No;2;Por mutuo consentimiento via judicial;Hombre;7/9/1991;29;Mestizo; Secundaria;Mujer;11/5/1992;28;Mestizo; Superior no Universitario
Tungurahua;Ambato;Huachi Chico;31/1/2009; No;10;Por mutuo consentimiento via judicial;Hombre;16/5/1987;33;Mestizo; Educacion media o Bachillerato;Mujer;19/8/1989;31;Mestizo; Educacion media o Bachillerato
Tungurahua;Ambato;Huachi Chico;8/12/1995; No;23;Por mutuo consentimiento via judicial;Hombre;27/5/1973;47;Mestizo; Superior no Universitario;Mujer;11/4/1976;44;Mestizo; Secundaria
Tungurahua;Ambato;Huachi Chico;17/1/2013; No;7; Sin informacion;Hombre;5/12/1980;40;Mestizo; Primaria;Mujer;10/9/1984;36;Mestizo; Primaria
Tungurahua;Ambato;Huachi Chico;1/3/2017; No;3; Sin informacion;Hombre;22/11/1997;23;Mestizo; Superior Universitario;Mujer;5/7/1997;23;Mestizo; Superior Universitario
Tungurahua;Ambato;Huachi Chico;27/7/2001; No;19;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;22/7/1983;37;Mestizo; Secundaria;Mujer;20/7/1983;37;Mestizo; Secundaria
Tungurahua;Ambato;Huachi Chico;23/10/1978; No;42;Por mutuo consentimiento via notarial;Hombre;10/10/1949;71;Mestizo; Secundaria;Mujer;2/5/1956;64;Mestizo; Primaria
Tungurahua;Ambato;Huachi Chico;11/2/2011; Si;9;Por mutuo consentimiento via judicial;Hombre;24/12/1980;40;Mestizo; Superior Universitario;Mujer;26/3/1974;46;Mestizo; Superior no Universitario
Tungurahua;Ambato;Huachi Chico;7/8/2009; No;10;Por mutuo consentimiento via judicial;Hombre;1/1/1988;33;Mestizo; Superior Universitario;Mujer;1/2/1988;32;Mestizo; Superior Universitario
Tungurahua;Ambato;Huachi Chico;21/9/2007; No;12;Por mutuo consentimiento via judicial;Hombre;22/11/1988;32;Mestizo; Secundaria;Mujer;27/3/1983;37;Mestizo; Secundaria
Pastaza;Pastaza;Puyo, cabecera cantonal y capital provincial;10/10/2002; No;18;Por mutuo consentimiento via judicial;Hombre;16/8/1976;44;Mestizo; Educacion media o Bachillerato;Mujer;3/4/1984;36;Mestizo; Educacion media o Bachillerato
Tungurahua;Ambato;Huachi Chico;10/4/1990; Sin informacion;30;Por mutuo consentimiento via notarial;Hombre;26/10/1967;53;Mestizo; Superior Universitario;Mujer;4/3/1967;53;Mestizo; Superior Universitario
Tungurahua;Ambato;Huachi Chico;2/12/1995; No;24;Por mutuo consentimiento via notarial;Hombre;20/10/1966;54;Mestizo; Primaria;Mujer;9/12/1980;40;Mestizo; Educacion Basica
Tungurahua;Ambato;Huachi Chico;20/1/2015; No;4;Por mutuo consentimiento via judicial;Hombre;1/6/1988;32;Mestizo; Superior Universitario;Mujer;15/6/1995;25;Mestizo; Secundaria
Tungurahua;Ambato;Huachi Chico;22/12/2001; No;17;Por mutuo consentimiento via judicial;Hombre;9/4/1982;38;Mestizo; Primaria;Mujer;19/6/1982;38;Mestizo; Primaria
Tungurahua;Ambato;Huachi Chico;1/12/2000; No;19;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;11/7/1966;54;Mestizo; Secundaria;Mujer;26/6/1970;50;Mestizo; Superior no Universitario
Tungurahua;Ambato;Huachi Chico;1/5/1981; No;39;Por mutuo consentimiento via judicial;Hombre;7/2/1957;63;Mestizo; Primaria;Mujer;7/1/1965;56;Mestizo; Primaria
Tungurahua;Banos de Agua Santa;Banos de Agua Santa;8/4/2005; No;15;Por mutuo consentimiento via judicial;Hombre;1/4/1983;37;Mestizo; Educacion media o Bachillerato;Mujer;12/3/1985;35;Mestizo; Superior Universitario
Tungurahua;Banos de Agua Santa;Banos de Agua Santa;2/2/2018; No;2;Por mutuo consentimiento via notarial;Hombre;1/6/1994;26;Mestizo; Educacion media o Bachillerato;Mujer;2/2/1999;21;Mestizo; Educacion media o Bachillerato
Tungurahua;Patate;Patate, cabecera cantonal;19/11/2010; No;9;Por mutuo consentimiento via judicial;Hombre;13/8/1984;36;Mestizo; Educacion media o Bachillerato;Mujer;16/3/1989;31;Mestizo; Educacion media o Bachillerato
Orellana;Orellana;Puerto Francisco de Orellana (El Coca);6/5/2011; No;9;Por mutuo consentimiento via notarial;Hombre;30/9/1983;37;Mestizo; Educacion media o Bachillerato;Mujer;5/1/1986;35;Mestizo; Educacion media o Bachillerato
Orellana;La Joya de los Sachas;La Joya de los Sachas, cabecera cantonal;15/12/2015; No;5; Sin informacion;Hombre;6/12/1980;40;Mestizo; Educacion media o Bachillerato;Mujer;2/5/1983;37;Mestizo; Educacion media o Bachillerato
Orellana;La Joya de los Sachas;La Joya de los Sachas, cabecera cantonal;14/9/2020; No;0;Por mutuo consentimiento via notarial;Hombre;30/11/1949;71;Mestizo; Educacion Basica;Mujer;15/4/1963;57;Mestizo; Educacion Basica
Orellana;La Joya de los Sachas;La Joya de los Sachas, cabecera cantonal;24/2/1981; No;38;Por mutuo consentimiento via judicial;Hombre;8/7/1963;57;Mestizo; Educacion Basica;Mujer;13/7/1963;57;Mestizo; Educacion Basica
Tungurahua;Ambato;Huachi Chico;28/6/1979; No;41;Por mutuo consentimiento via judicial;Hombre;11/11/1957;63;Mestizo; Primaria;Mujer;28/9/1960;60;Mestizo; Primaria
Orellana;Orellana;Puerto Francisco de Orellana (El Coca);6/2/2013; No;7;Por mutuo consentimiento via judicial;Hombre;10/5/1975;45;Mestizo; Educacion media o Bachillerato;Mujer;11/4/1984;36;Mestizo; Educacion media o Bachillerato
Orellana;Loreto;Loreto, cabecera cantonal;28/2/2019; Sin informacion;1;Por mutuo consentimiento via notarial;Hombre;27/1/1966;54;Mestizo; Primaria;Mujer;20/10/1968;52;Mestizo; Primaria
Orellana;La Joya de los Sachas;La Joya de los Sachas, cabecera cantonal;30/11/2001; No;19;Por mutuo consentimiento via notarial;Hombre;10/3/1973;47;Mestizo; Educacion Basica;Mujer;9/10/1981;39;Mestizo; Educacion Basica
Tungurahua;Ambato;Izamba;28/7/2000; No;20;Por mutuo consentimiento via notarial;Hombre;15/12/1978;42;Mestizo; Superior Universitario;Mujer;16/9/1982;38;Mestizo; Superior Universitario
Orellana;Orellana;Puerto Francisco de Orellana (El Coca);26/8/2003; No;17;Por mutuo consentimiento via notarial;Hombre;4/3/1983;37;Mestizo; Educacion media o Bachillerato;Mujer;21/11/1982;38;Sin informacion; Educacion media o Bachillerato
Tungurahua;San Pedro de Pelileo;Pelileo;6/7/1998; No;22;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;22/3/1982;38;Indigena; Primaria;Mujer;26/8/1965;55;Indigena; Primaria
Tungurahua;San Pedro de Pelileo;Pelileo;14/2/1998; No;22;Por mutuo consentimiento via judicial;Hombre;23/12/1970;50;Mestizo; Educacion Basica;Mujer;8/4/1975;45;Mestizo; Educacion media o Bachillerato
Tungurahua;San Pedro de Pelileo;Pelileo;15/10/1998; No;22;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;27/7/1978;42;Mestizo; Educacion Basica;Mujer;10/4/1980;40;Mestizo; Educacion Basica
Tungurahua;San Pedro de Pelileo;Pelileo;15/2/2002; No;18;Por mutuo consentimiento via judicial;Hombre;23/11/1964;56;Mestizo; Educacion media o Bachillerato;Mujer;15/3/1965;55;Mestizo; Superior Universitario
Tungurahua;San Pedro de Pelileo;Pelileo;16/5/2003; No;17;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;14/12/1983;37;Mestizo; Educacion media o Bachillerato;Mujer;6/11/1986;34;Mestizo; Educacion media o Bachillerato
Tungurahua;Santiago de Píllaro;Pillaro;30/8/2018; No;2;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;6/12/1990;30;Mestizo; Educacion media o Bachillerato;Mujer;25/7/1992;28;Mestizo; Educacion Basica
Tungurahua;Santiago de Píllaro;Pillaro;5/2/2015; No;5;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;2/5/1981;39;Mestizo; Educacion media o Bachillerato;Mujer;12/7/1991;29;Mestizo; Educacion media o Bachillerato
Tungurahua;Santiago de Píllaro;Pillaro;13/10/1995; No;25;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;19/9/1967;53;Mestizo; Superior Universitario;Mujer;1/3/1971;49;Mestizo; Educacion media o Bachillerato
Tungurahua;Santiago de Píllaro;Pillaro;25/11/2008; No;11;Por mutuo consentimiento via judicial;Hombre;29/7/1983;37;Mestizo; Superior Universitario;Mujer;13/1/1986;35;Mestizo; Superior Universitario
Tungurahua;Santiago de Píllaro;Pillaro;25/11/2011; No;8;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;6/4/1988;32;Mestizo; Educacion media o Bachillerato;Mujer;18/4/1994;26;Mestizo; Educacion media o Bachillerato
Orellana;Orellana;Puerto Francisco de Orellana (El Coca);5/6/1987; No;33;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;2/8/1964;56;Indigena; Educacion Basica;Mujer;10/11/1954;66;Indigena; Primaria
Orellana;Orellana;Puerto Francisco de Orellana (El Coca);14/7/2006; No;14;Por mutuo consentimiento via judicial;Hombre;5/2/1985;35;Mestizo; Educacion Basica;Mujer;10/2/1988;32;Mestizo; Educacion Basica
Orellana;Orellana;Puerto Francisco de Orellana (El Coca);20/9/2006; No;13;Por mutuo consentimiento via judicial;Hombre;12/8/1970;50;Indigena; Primaria;Mujer;25/5/1992;28;Indigena; Secundaria
Orellana;Orellana;Puerto Francisco de Orellana (El Coca);7/10/2013; No;7;Por mutuo consentimiento via notarial;Hombre;7/11/1972;48;Mestizo; Educacion media o Bachillerato;Mujer;8/7/1998;22;Mestizo; Educacion Basica
Orellana;Orellana;Puerto Francisco de Orellana (El Coca);23/10/2020; No;0;Por mutuo consentimiento via notarial;Hombre;24/1/1975;45;Mestizo; Educacion media o Bachillerato;Mujer;16/8/1989;31;Mestizo; Superior Universitario
Tungurahua;San Pedro de Pelileo;Pelileo;26/3/2008; No;9;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;20/7/1982;38;Mestizo; Educacion media o Bachillerato;Mujer;7/11/1993;27;Mestizo; Secundaria
